"","Suburb - Incident","sum(`Offence count`)"
"881","PENFIELD",57
"882","PENFIELD GARDENS",13
"883","PENNESHAW",8
"884","PENNINGTON",306
"885","PENOLA",38
"886","PENONG",8
"887","PENRICE",8
"888","PERNATTY",1
"889","PERTH",2
"890","PETERBOROUGH",67
"891","PETERHEAD",66
"892","PETERSVILLE",1
"893","PETHERICK",1
"894","PETWOOD",1
"895","PEWSEY VALE",1
"896","PICCADILLY",6
"897","PIKE RIVER",2
"898","PIMBA",4
"899","PINE POINT",1
"900","PINERY",4
"901","PINKAWILLINIE",1
"902","PINKERTON PLAINS",1
"903","PINNAROO",9
"904","PIPALYATJARA",56
"905","PIRIE EAST",2
"906","PLYMPTON",377
"907","PLYMPTON PARK",195
"908","POINT BOSTON",3
"909","POINT LOWLY",1
"910","POINT PASS",2
"911","POINT PEARCE",24
"912","POINT SOUTTAR",1
"913","POINT TURTON",2
"914","POLTALLOCH",1
"915","POMPOOTA",3
"916","PONDE",1
"917","POOCHERA",3
"918","POOGINOOK",1
"919","POONINDIE",4
"920","POORAKA",595
"921","PORT ADELAIDE",613
"922","PORT AUGUSTA",2445
"923","PORT AUGUSTA WEST",809
"924","PORT BONYTHON",1
"925","PORT BROUGHTON",24
"926","PORT DOUGLAS",1
"927","PORT ELLIOT",52
"928","PORT GAWLER",9
"929","PORT GERMEIN",13
"930","PORT HUGHES",19
"931","PORT KENNY",2
"932","PORT LINCOLN",1890
"933","PORT MACDONNELL",17
"934","PORT MANNUM",6
"935","PORT NEILL",4
"936","PORT NOARLUNGA",165
"937","PORT NOARLUNGA SOUTH",110
"938","PORT PATERSON",10
"939","PORT PIRIE",217
"940","PORT PIRIE SOUTH",208
"941","PORT PIRIE WEST",208
"942","PORT VICTORIA",7
"943","PORT VINCENT",7
"944","PORT WAKEFIELD",97
"945","PORT WILLUNGA",65
"946","PORTER LAGOON",1
"947","PRESTON",1
"948","PRICE",8
"949","PROSPECT",1106
"950","PROSPECT HILL",2
"951","PUCKAPUNYAL",1
"952","PUKATJA",124
"953","PUNYELROO",5
"954","PURNONG",3
"955","PYAP",2
"956","PYAP WEST",1
"957","QUEENSTOWN",97
"958","QUORN",31
"959","RAMCO",4
"960","RAMSAY",1
"961","RANDWICK",1
"962","RAPID BAY",4
"963","RED CREEK",2
"964","REDBANKS",2
"965","REDHILL",8
"966","REDWOOD PARK",92
"967","REEDY CREEK",3
"968","REEVES PLAINS",4
"969","REGENCY PARK",60
"970","REID",8
"971","RENDELSHAM",6
"972","RENMARK",352
"973","RENMARK NORTH",8
"974","RENMARK SOUTH",12
"975","RENMARK WEST",33
"976","RENOWN PARK",184
"977","REYNELLA",204
"978","REYNELLA EAST",48
"979","RHYNIE",1
"980","RICHMOND",188
"981","RIDGEHAVEN",155
"982","RIDLEYTON",330
"983","RIPLEY",1
"984","RISDON PARK",205
"985","RISDON PARK SOUTH",51
"986","RIVERBEND",1
"987","RIVERGLADES",10
"988","RIVERGLEN",1
"989","RIVERLEA",1
"990","RIVERLEA PARK",14
"991","RIVERTON",8
"992","ROBE",27
"993","ROBERTSTOWN",15
"994","ROCKLEIGH",5
"995","ROCKY CAMP",1
"996","ROCKY GULLY",7
"997","ROSE PARK",65
"998","ROSEBERY",1
"999","ROSEDALE",1
"1000","ROSETOWN",10
"1001","ROSEWATER",399
"1002","ROSEWORTHY",42
"1003","ROSSLYN PARK",17
"1004","ROSTREVOR",155
"1005","ROWLAND FLAT",1
"1006","ROXBY DOWNS",113
"1007","ROYAL PARK",213
"1008","ROYSTON PARK",74
"1009","SADDLEWORTH",14
"1010","SAINT AGNES",1
"1011","SAINTS",2
"1012","SALISBURY",1636
"1013","SALISBURY DOWNS",869
"1014","SALISBURY EAST",391
"1015","SALISBURY HEIGHTS",121
